"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2024","90.82","99.90","100.00","89.55","90.11M","-8.31%"
"10/04/2024","99.05","100.00","100.00","95.39","43.65M","-0.21%"
"10/03/2024","99.26","100.00","102.19","99.00","27.99M","-3.27%"
"10/01/2024","102.62","100.00","103.49","99.15","61.23M","3.01%"
"09/30/2024","99.62","101.71","102.38","97.84","51.88M","-2.51%"
"09/27/2024","102.18","104.60","104.87","101.00","36.45M","-1.27%"
"09/26/2024","103.49","105.79","106.34","102.30","31.14M","0.46%"
"09/25/2024","103.02","105.37","107.50","101.40","54.74M","-0.99%"
"09/24/2024","104.05","108.15","109.90","103.42","52.94M","-3.79%"
"09/23/2024","108.15","112.00","112.40","107.50","30.25M","-2.56%"
"09/20/2024","110.99","113.00","113.95","110.40","26.66M","-0.61%"
"09/19/2024","111.67","116.70","117.49","109.50","61.44M","-4.51%"
"09/18/2024","116.95","118.00","123.90","116.10","118.68M","-0.86%"
"09/17/2024","117.96","112.95","118.36","110.26","163.40M","9.63%"
"09/16/2024","107.60","112.00","112.18","106.90","27.17M","-3.57%"
"09/13/2024","111.58","112.70","114.25","111.00","18.10M","-0.94%"
"09/12/2024","112.64","114.60","115.49","111.44","33.77M","-0.34%"
"09/11/2024","113.02","115.49","116.50","109.86","44.90M","-2.15%"
"09/10/2024","115.50","114.80","119.00","113.39","51.11M","0.80%"
"09/09/2024","114.58","110.00","116.20","103.50","93.62M","4.57%"
"09/06/2024","109.57","111.10","115.05","109.00","58.56M","-4.85%"
"09/05/2024","115.16","111.36","119.17","110.33","88.50M","3.94%"
"09/04/2024","110.80","112.55","115.00","109.80","30.26M","-2.37%"
"09/03/2024","113.49","114.00","119.30","112.66","34.11M","-1.25%"
"09/02/2024","114.93","118.50","119.95","114.00","32.10M","-2.54%"
"08/30/2024","117.93","121.30","122.97","117.11","39.36M","-1.95%"
"08/29/2024","120.28","125.95","126.99","119.60","32.24M","-4.30%"
"08/28/2024","125.69","128.70","129.19","125.00","36.06M","-1.44%"
"08/27/2024","127.53","126.00","131.00","125.75","62.97M","1.78%"
"08/26/2024","125.30","123.43","132.70","118.60","162.42M","-0.76%"
"08/23/2024","126.26","131.00","132.47","125.55","58.94M","-3.85%"
"08/22/2024","131.32","139.00","139.00","126.05","107.21M","-4.88%"
"08/21/2024","138.05","143.00","143.50","135.22","113.02M","0.19%"
"08/20/2024","137.79","153.80","157.40","132.65","309.14M","-5.87%"
"08/19/2024","146.38","139.39","146.38","136.00","192.36M","9.99%"
"08/16/2024","133.08","121.00","133.08","117.00","338.76M","20.00%"
"08/14/2024","110.90","110.00","113.40","100.36","160.54M","2.52%"
"08/13/2024","108.17","120.98","129.40","105.21","365.04M","-1.16%"
"08/12/2024","109.44","97.00","109.44","95.00","210.30M","20.00%"
